ets Jun  8 2016 00:22:57

rst:0x1 (POWERON_RESET),boot:0x13 (SPReMQ}1M!}	==Q 
configsip: 0, A%]A 0xee
clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
mode:DIO, clock div:2
load:0 fff0030,len:6380
25500 29865
25540 29965
25576 30051
25598 30100
25621 30152
25649 30238
25586 30075
25482 29813
25492 29855
25509 29885
25504 29882
25523 29927
25555 30015
25581 30074
25599 30125
25625 30187
25655 30257
25654 30250
25496 29860
25481 29820
25479 29828
25499 29864
25503 29884
25536 29965
25569 30038
25591 30099
25617 30162
25655 30243
25680 30313
25708 30378
25737 30444
25612 30143
25523 29915
25538 29939
25545 29956
25552 29977
25576 30029
25605 30111
25627 30171
25651 30220
25681 30287
25709 30363
25745 30445
25768 30515
25654 30213
25568 29992
25589 30038
25589 30039
25593 30037
25612 30101
25649 30192
25667 30240
25687 30286
25706 30338
25737 30407
25650 30183
25548 29929
25571 29987
25582 30008
25592 30024
25612 30084
25651 30184
25676 30244
25698 30300
25727 30363
25756 30446
25781 30511
25797 30549
25822 30604
25772 30469
25602 30034
25606 30048
25612 30054
25610 30060
25623 30090
25653 30170
25680 30237
25701 30283
25718 30338
25750 30398
25771 30458
25794 30522
25681 30220
25570 29945
25591 29998
25599 30013
25589 30002
25609 30058
25656 30158
25680 30226
25706 30292
25737 30357
25760 30431
25680 30215
25567 29920
25590 29977
25599 30005
25604 30004
25609 30036
25644 30121
25666 30173
25683 30222
25705 30274
25737 30355
25765 30425
25791 30496
25755 30386
25564 29904
25558 29889
25556 29887
25541 29862
25542 29858
25567 29932
25597 30010
25622 30057
25638 30109
25670 30181
25697 30242
25726 30320
25619 30042
25515 29751
25539 29830
25553 29853
25543 29840
25561 29887
25599 29983
25622 30043
25635 30083
25659 30136
25695 30213
25643 30064
25486 29682
25512 29743
25531 29783
25534 29784
25556 29835
25593 29932
25623 30006
25642 30057
25669 30114
25700 30192
25727 30267
25753 30336
25778 30394
25793 30440
25615 29978
25540 29763
25568 29846
25569 29853
25573 29865
25599 29941
25637 30040
25671 30109
25689 30166
25715 30227
25742 30293
25765 30362
25797 30441
25725 30253
25567 29845
25595 29911
25612 29963
25602 29940
25611 29958
25650 30067
25673 30137
25690 30168
25709 30218
25742 30296
25660 30092
25525 29740
25544 29795
25554 29822
25552 29811
25561 29848
25598 29936
25618 29996
25636 30044
25660 30099
25689 30167
25713 30237
25733 30296
25676 30135
25497 29684
25507 29716
25511 29724
25509 29726
25517 29743
25547 29823
25576 29900
25600 29953
25627 30019
25660 30104
25665 30120
25510 29712
25499 29700
25531 29775
25544 29810
25550 29830
25596 29931
25625 30019
25649 30070
25667 30121
25697 30196
25718 30273
25750 30348
25657 30110
25506 29725
25516 29758
25517 29757
25513 29772
25528 29806
25565 29898
25594 29969
25618 30026
25639 30093
25669 30165
25695 30231
25704 30241
25525 29796
25499 29728
25512 29766
25517 29785
25525 29806
25565 29901
25591 29980
25611 30023
25628 30074
25652 30133
25667 30167
25511 29775
25471 29669
25497 29741
25500 29750
25498 29756
25543 29860
25573 29939
25593 29996
25622 30062
25656 30150
25690 30236
25661 30153
25480 29701
25477 29690
25479 29702
25488 29721
25490 29743
25531 29845
25569 29930
25593 29994
25621 30063
25655 30140
25681 30215
25714 30283
25730 30338
25565 29915
25485 29718
25502 29763
25508 29780
25512 29791
25540 29870
25580 29972
25611 30046
25636 30103
25655 30160
25686 30235
25722 30318
25639 30109
25491 29743
25516 29802
25535 29848
25531 29835
25544 29875
25586 29978
25611 30050
25633 30101
25649 30142
25682 30231
25615 30045
25453 29661
25478 29727
25518 29832
25541 29884
25570 29961
25623 30102
25664 30195
25690 30261
25721 30343
25767 30447
25801 30535
25834 30616
25834 30623
25619 30069
25590 29995
25620 30067
25621 30084
25629 30089
25661 30173
25697 30266
25719 30318
25739 30374
25771 30449
25795 30506
25814 30559
25823 30578
25638 30110
25581 29975
25614 30060
25620 30077
25614 30060
25636 30127
25674 30216
25693 30272
25705 30310
25741 30392
25752 30416
25599 30030
25581 29992
25620 30088
25622 30089
25617 30079
25661 30188
25699 30285
25714 30337
25737 30394
25766 30462
25796 30536
25784 30508
25594 30026
25576 29981
25589 30020
25595 30033
25597 30044
25635 30145
25681 30262
25698 30306
25722 30360
25748 30424
25774 30496
25792 30540
25815 30588
25650 30175
25547 29936
25574 29990
25574 30001
25567 29982
25587 30033
25616 30131
25641 30189
25660 30230
25682 30292
25718 30371
25699 30336
25529 29903
25519 29880
25542 29940
25539 29936
25545 29946
25581 30043
25616 30129
25627 30164
25649 30218
25685 30302
25643 30197
25472 29783
25470 29776
25491 29821
25492 29825
25501 29850
25536 29940
25567 30015
25598 30077
25619 30127
25656 30216
25689 30302
25658 30238
25463 29728
25438 29671
25464 29729
25470 29754
25480 29769
25515 29867
25554 29955
25574 30010
25592 30053
25630 30146
25572 30001
25435 29650
25459 29713
25493 29803
25488 29791
25497 29821
25545 29937
25559 29984
25579 30014
25606 30078
25462 29724
25391 29553
25432 29648
25442 29683
25445 29677
25484 29771
25523 29875
25551 29937
25576 29993
25539 29904
25382 29489
25371 29482
25373 29495
25365 29473
25346 29408
25349 29420
25357 29439
25359 29446
25380 29493
25316 29330
25126 28875
25151 28935
25186 29002
25203 29034
25228 29081
25285 29208
25342 29322
25382 29414
25427 29514
25485 29641
25534 29751
25587 29870
25637 29977
25684 30086
25549 29741
25444 29482
25497 29602
25514 29640
25509 29640
25546 29714
25592 29815
25617 29866
25631 29900
25655 29956
25670 29985
25527 29630
25508 29582
25543 29686
25560 29716
25564 29720
25607 29819
25640 29918
25671 29976
25696 30043
25729 30112
25761 30187
25700 30036
25550 29666
25575 29730
25592 29768
25593 29771
25602 29796
25637 29878
25672 29956
25693 30014
25716 30077
25746 30140
25778 30224
25701 30017
25565 29687
25600 29766
25602 29792
25592 29764
25600 29791
25637 29870
25666 29944
25688 30008
25721 30073
25752 30143
25778 30214
25645 29882
25570 29684
25609 29777
25610 29795
25598 29767
25618 29821
25656 29914
25684 29972
25704 30021
25727 30087
25754 30151
25616 29801
25567 29671
25611 29779
25624 29815
25625 29811
25660 29899
25704 30007
25726 30060
25747 30115
25782 30188
25816 30271
25850 30365
25776 30162
25627 29783
25659 29859
25668 29901
25663 29895
25684 29936
25723 30033
25754 30109
25776 30159
25800 30221
25825 30281
25857 30351
25795 30186
25642 29808
25656 29853
25660 29869
25654 29853
25667 29876
25706 29980
25728 30042
25749 30084
25766 30128
25774 30156
25677 29891
25573 29632
25607 29719
25623 29762
25619 29739
25640 29807
25684 29910
25713 29977
25737 30037
25768 30105
25711 29959
25565 29582
25583 29625
25603 29656
25602 29657
25617 29699
25659 29797
25687 29869
25715 29936
25738 29990
25773 30075
25710 29898
25545 29475
25571 29535
25581 29553
25579 29544
25599 29590
25641 29691
25677 29782
25709 29862
25746 29937
25770 29998
25807 30085
25830 30146
25870 30226
25774 29981
25621 29576
25658 29674
25667 29698
25659 29671
25684 29712
25725 29824
25757 29888
25784 29975
25840 30113
25875 30204
25908 30279
25806 30005
25703 29740
25753 29868
25775 29918
25747 29848
25756 29881
25791 29972
25821 30044
25840 30098
25870 30168
25884 30198
25722 29763
25693 29711
25737 29826
25729 29811
25723 29795
25761 29899
25798 29984
25816 30045
25847 30116
25869 30180
25893 30232
25730 29810
25645 29595
25686 29714
25697 29738
25685 29711
25728 29818
25769 29932
25791 29995
25816 30059
25846 30128
25886 30224
25798 30001
25670 29682
25724 29807
25742 29862
25722 29818
25749 29880
25793 29989
25814 30048
25822 30084
25839 30117
25853 30137
25694 29741
25647 29627
25688 29749
25687 29738
25676 29722
25721 29830
25751 29922
25770 29972
25799 30037
25829 30109
25849 30168
25669 29710
25627 29607
25653 29680
25660 29691
25657 29692
25691 29779
25724 29862
25737 29901
25766 29952
25783 30019
25810 30091
25797 30043
25596 29533
25584 29510
25592 29516
25586 29513
25589 29517
25619 29602
25642 29670
25665 29719
25690 29786
25729 29877
25762 29968
25792 30042
25777 29981
25585 29503
25587 29523
25607 29574
25613 29585
25626 29621
25661 29700
25680 29748
25692 29784
25712 29833
25739 29899
25752 29936
25587 29502
25542 29400
25575 29474
25576 29481
25582 29494
25624 29602
25660 29693
25683 29746
25705 29817
25740 29898
25769 29969
25791 30021
25628 29609
25545 29398
25575 29473
25572 29453
25558 29426
25593 29516
25624 29605
25653 29670
25678 29725
25699 29788
25735 29869
25765 29948
25632 29609
25553 29403
25603 29536
25619 29588
25628 29591
25660 29674
25705 29780
25731 29840
25759 29911
25792 29993
25819 30063
25675 29686
25627 29580
25666 29671
25660 29669
25665 29676
25705 29769
25735 29852
25759 29904
25785 29963
25812 30035
25840 30106
25829 30064
25659 29643
25664 29667
25693 29739
25694 29733
25698 29760
25753 29877
25783 29955
25804 30001
25823 30063
25825 30053
25682 29693
25695 29723
25713 29768
25708 29764
25711 29780
25753 29869
25780 29925
25792 29965
25814 30016
25799 29976
25631 29557
25628 29538
25626 29544
25647 29588
25662 29617
25701 29722
25732 29799
25755 29864
25793 29946
25826 30032
25859 30108
25864 30113
25675 29627
25643 29555
25633 29535
25652 29575
25666 29595
25694 29684
25736 29774
25761 29833
25790 29902
25828 29983
25865 30072
25893 30148
25916 30216
25949 30281
25927 30244
25730 29727
25731 29726
25738 29758
25753 29783
25771 29824
25808 29921
25848 30008
25878 30081
25904 30142
25936 30233
25974 30321
26001 30392
26024 30456
26048 30515
26068 30566
25910 30150
25836 29959
25882 30084
25890 30100
25865 30048
25895 30116
25928 30215
25948 30268
25966 30314
25998 30384
26010 30417
25857 30024
25824 29947
25858 30038
25862 30055
25856 30048
25898 30148
25933 30244
25956 30308
25980 30369
26011 30446
26038 30522
26051 30545
25845 30034
25798 29914
25823 29978
25827 29996
25827 29998
25856 30078
25891 30174
25915 30230
25931 30282
25970 30376
25904 30200
25768 29851
25793 29936
25812 29987
25803 29957
25809 29984
25848 30088
25871 30133
25879 30167
25898 30219
25906 30236
25729 29794
25706 29743
25721 29781
25732 29814
25736 29838
25777 29945
25821 30040
25839 30090
25864 30141
25885 30202
25909 30259
25901 30241
25669 29661
25622 29551
25620 29559
25638 29601
25658 29647
25713 29789
25767 29926
25809 30017
25837 30093
25876 30188
25919 30294
25951 30377
25969 30421
25882 30177
25726 29776
25755 29849
25767 29881
25763 29867
25774 29906
25815 30012
25842 30087
25861 30124
25875 30156
25903 30221
25938 30313
25876 30165
25682 29656
25696 29692
25714 29746
25717 29746
25729 29779
25770 29904
25802 29991
25833 30051
25860 30115
25887 30183
25919 30275
25806 29973
25655 29586
25677 29646
25677 29660
25681 29656
25707 29718
25756 29847
25797 29962
25845 30064
25864 30122
25882 30166
25891 30200
25840 30067
25667 29618
25693 29689
25719 29752
25709 29747
25726 29784
25783 29920
25813 30004
25836 30053
25858 30113
25891 30209
25930 30312
25948 30357
25752 29832
25697 29708
25746 29835
25763 29879
25762 29880
25799 29973
25836 30063
25849 30099
25866 30137
25891 30199
25920 30277
25949 30364
25833 30047
25754 29846
25809 29984
25819 30026
25795 29968
25819 30026
25861 30135
25875 30176
25887 30200
25911 30257
25888 30203
25735 29816
25768 29909
25808 30023
25790 29978
25799 30000
25846 30123
25876 30200
25893 30235
25915 30299
25950 30374
25811 30009
25754 29870
25829 30054
25852 30122
25815 30029
25830 30072
25858 30150
25891 30232
25906 30258
25912 30303
25855 30164
25746 29878
25807 30029
25841 30111
25817 30054
25836 30096
25874 30205
25899 30259
25923 30310
25948 30393
25953 30407
25807 30008
25821 30046
25874 30182
25852 30147
25832 30101
25861 30178
25909 30291
25928 30356
25940 30395
25902 30286
25778 29948
25822 30062
25871 30188
25854 30135
25872 30188
25919 30326
25948 30413
25969 30467
25994 30537
25953 30403
25804 30024
25843 30136
25868 30210
25844 30152
25864 30202
25908 30328
25938 30401
25950 30442
25971 30503
25958 30460
25796 30035
25823 30106
25864 30220
25843 30177
25854 30201
25902 30321
25923 30407
25941 30459
25961 30511
25988 30587
25871 30259
25799 30076
25868 30253
25878 30281
25858 30236
25893 30330
25932 30445
25960 30507
25967 30542
25995 30614
25962 30512
25824 30121
25862 30230
25897 30340
25877 30291
25896 30342
25944 30467
25969 30544
25988 30586
25999 30635
26009 30646
25843 30200
25827 30155
25867 30268
25858 30250
25861 30256
25896 30372
25939 30479
25959 30535
25982 30596
26007 30668
26044 30773
25885 30335
25837 30203
25889 30344
25893 30350
25882 30323
25914 30401
25956 30496
25964 30527
25967 30532
25983 30558
25994 30607
25953 30479
25773 30016
25784 30054
25793 30082
25778 30046
25782 30065
25816 30165
25838 30223
25852 30254
25864 30311
25853 30260
25682 29821
25680 29827
25701 29880
25718 29918
25732 29955
25775 30072
25811 30167
25845 30256
25897 30396
25992 30659
26059 30843
26098 30937
26037 30746
25825 30173
25863 30281
25892 30367
25880 30340
25888 30339
25892 30356
25900 30374
25915 30431
25947 30516
25982 30601
26003 30668
26032 30740
25878 30313
25781 30065
25824 30186
25831 30210
25823 30199
25864 30297
25907 30408
25927 30468
25943 30514
25966 30583
26003 30676
26004 30686
25813 30180
25831 30226
25888 30365
25881 30360
25861 30318
25883 30368
25915 30458
25928 30501
25937 30524
25958 30573
25987 30646
25829 30231
25743 30028
25780 30118
25789 30152
25782 30147
25820 30244
25864 30367
25880 30422
25904 30485
25943 30593
25991 30722
25810 30236
25730 30034
25767 30133
25756 30107
25721 30028
25745 30079
25761 30134
25770 30172
25781 30201
25816 30285
25744 30101
25607 29753
25626 29820
25633 29836
25636 29851
25651 29898
25692 30007
25724 30090
25747 30160
25780 30246
25829 30370
25771 30210
25624 29851
25667 29960
25688 30015
25677 29978
25705 30049
25749 30168
25773 30235
25792 30284
25814 30347
25852 30440
25886 30525
25722 30099
25658 29935
25704 30057
25703 30068
25690 30042
25732 30138
25768 30234
25790 30291
25810 30326
25832 30398
25869 30487
25899 30560
25906 30582
25709 30068
25672 29981
25715 30089
25713 30084
25709 30076
25743 30171
25781 30273
25805 30335
25826 30380
25858 30465
25896 30549
25910 30605
25805 30321
25670 29961
25714 30085
25726 30121
25698 30047
25704 30070
25742 30165
25760 30220
25773 30247
25795 30294
25819 30366
25719 30102
25592 29790
25625 29867
25631 29886
25629 29872
25649 29941
25688 30048
25716 30116
25733 30167
25762 30233
25791 30308
25815 30370
25642 29928
25601 29813
25633 29917
25635 29926
25638 29935
25670 30023
25709 30117
25735 30184
25760 30244
25782 30301
25820 30395
25776 30280
25613 29858
25638 29920
25674 30008
25658 29973
25672 30014
25722 30147
25753 30230
25775 30276
25789 30322
25824 30424
25712 30104
25628 29892
25672 30015
25688 30052
25674 30010
25701 30087
25742 30193
25754 30235
25760 30244
25790 30310
25746 30193
25590 29800
25612 29863
25628 29911
25634 29920
25645 29957
25689 30072
25719 30145
25737 30194
25760 30254
25791 30328
25824 30408
25711 30116
25580 29778
25605 29853
25607 29861
25607 29854
25629 29909
25666 30007
25685 30071
25706 30114
25733 30171
25756 30242
25783 30313
25812 30377
25798 30342
25607 29831
25598 29821
25621 29876
25619 29873
25615 29866
25645 29941
25676 30024
25703 30091
25729 30162
25759 30239
25794 30333
25847 30450
25722 30113
25609 29850
25659 29968
25674 30015
25663 29973
25688 30052
25720 30129
25709 30122
25734 30169
25759 30240
25777 30273
25621 29867
25576 29754
25619 29884
25619 29881
25609 29858
25653 29974
25693 30067
25706 30112
25726 30158
25752 30220
25763 30246
25589 29790
25554 29712
25585 29796
25583 29786
25580 29780
25618 29882
25660 29984
25692 30067
25719 30141
25748 30206
25780 30276
25763 30222
25574 29740
25580 29768
25620 29866
25618 29855
25628 29890
25671 30004
25704 30090
25737 30164
25761 30228
25799 30313
25834 30403
25770 30235
25611 29837
25660 29942
25683 30025
25674 29990
25695 30048
25735 30155
25770 30232
25790 30280
25809 30322
25823 30364
25832 30379
25666 29937
25635 29862
25670 29957
25665 29948
25665 29942
25696 30040
25734 30118
25753 30163
25764 30199
25794 30262
25784 30246
25617 29805
25612 29802
25649 29894
25648 29893
25654 29910
25698 30022
25726 30091
25734 30089
25726 30072
25748 30132
25663 29919
25505 29507
25530 29579
25543 29607
25541 29586
25562 29648
25600 29742
25627 29798
25647 29844
25680 29908
25711 29995
25622 29754
25466 29357
25502 29436
25510 29441
25527 29481
25568 29581
25616 29700
25651 29783
25681 29855
25707 29921
25744 29999
25732 29981
25560 29530
25560 29530
25596 29620
25598 29617
25609 29641
25656 29750
25694 29842
25715 29893
25739 29952
25769 30022
25795 30092
25825 30174
25712 29861
25593 29571
25644 29692
25663 29737
25650 29701
25673 29768
25718 29880
25747 29947
25772 30004
25803 30084
25840 30182
25878 30279
25837 30165
25667 29725
25695 29800
25718 29854
25688 29775
25689 29790
25738 29917
25769 29996
25788 30047
25815 30111
25851 30202
25859 30207
25658 29702
25637 29645
25674 29742
25669 29737
25675 29740
25719 29854
25756 29962
25785 30022
25806 30081
25832 30155
25872 30237
25703 29803
25640 29650
25684 29775
25690 29781
25670 29728
25692 29793
25734 29891
25753 29953
25769 30008
25802 30085
25836 30146
25668 29723
25597 29551
25644 29671
25644 29683
25624 29631
25666 29728
