ets Jun  8 2016 00:22:57

rst:0x1 (POWERON_RESET),boot:0x13 (SPReMQ}1M!}	==Q 
configsip: 0, A%]A 0xee
clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
mode:DIO, clock div:2
load:0 fff0030,len:6380
25694 30151
25714 30207
25735 30257
25758 30316
25782 30382
25801 30431
25825 30488
25740 30277
25668 30064
25693 30112
25695 30132
25687 30126
25700 30171
25736 30250
25760 30306
25772 30362
25801 30412
25823 30481
25843 30535
25856 30571
25755 30278
25709 30146
25730 30202
25740 30220
25734 30215
25768 30283
25781 30356
25809 30410
25830 30462
25849 30523
25872 30585
25901 30657
25851 30531
25762 30256
25779 30286
25787 30328
25782 30318
25789 30330
25810 30410
25834 30472
25848 30513
25865 30555
25887 30616
25823 30433
25725 30182
25757 30235
25759 30265
25758 30254
25777 30305
25807 30390
25832 30449
25850 30485
25868 30531
25886 30585
25906 30633
25872 30557
25730 30158
25726 30135
25735 30175
25728 30161
25730 30162
25759 30253
25794 30360
25813 30408
25824 30444
25843 30488
25853 30519
25856 30521
25746 30220
25690 30061
25710 30124
25694 30098
25711 30119
25745 30233
25773 30302
25800 30358
25810 30375
25832 30432
25828 30410
25684 30025
25658 29974
25661 29977
25671 29994
25668 30008
25686 30066
25683 30101
25688 30128
25681 30153
25713 30210
25731 30254
25601 29905
25552 29769
25578 29835
25595 29856
25580 29843
25599 29897
25645 29988
25676 30057
25684 30099
25684 30126
25709 30196
25641 30025
25559 29763
25601 29874
25641 29934
25643 29933
25650 29966
25682 30056
25700 30109
25718 30148
25728 30198
25709 30177
25566 29779
25555 29763
25575 29825
25575 29825
25572 29827
25598 29905
25635 29983
25649 30033
25668 30083
25685 30136
25710 30206
25616 29953
25523 29712
25549 29796
25559 29821
25556 29807
25574 29853
25607 29937
25643 30020
25670 30104
25712 30232
25718 30288
25708 30301
25570 29928
25525 29767
25559 29847
25573 29873
25575 29880
25603 29952
25643 30049
25669 30122
25686 30171
25704 30232
25745 30320
25774 30398
25660 30093
25564 29856
25583 29925
25588 29944
25599 29958
25624 30029
25663 30137
25693 30216
25721 30284
25746 30366
25777 30443
25738 30338
25591 29951
25600 29981
25616 30034
25622 30038
25628 30061
25668 30175
25699 30271
25727 30347
25759 30442
25785 30551
25721 30380
25588 30038
25611 30103
25629 30142
25618 30126
25635 30178
25673 30300
25704 30379
25702 30390
25721 30444
25749 30528
25727 30469
25572 30056
25562 30026
25585 30089
25582 30071
25570 30056
25600 30118
25617 30172
25618 30183
25630 30209
25608 30152
25457 29743
25432 29688
25441 29726
25432 29719
25429 29710
25455 29780
25474 29832
25488 29865
25504 29902
25388 29611
25305 29384
25324 29428
